update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
319,2837863,2837863,7983,983,1024,0.35342773437500036,12.399962425231934,-0.0068014562129974365,-0.0035892058513127267,4.406252339482307,0.30430823285132647,0.004224687372698099,0.034423828125,0.8994804536262258,0.05,12,135,1,1,1,0.1796875,0.2509765625,0.189453125,0.2392578125,0.015625,0.125
320,2838887,2838887,7986,986,1024,0.5617285156250005,16.689849853515625,0.04027562960982323,-0.0010919640772044659,3.2447132915258408,0.4082619361579418,0.005426974403235363,0.025390625,0.9293318832494444,0.05,15,171,0,1,1,0.228515625,0.220703125,0.193359375,0.1982421875,0.037109375,0.1220703125
321,2839911,2839911,7989,989,1024,0.5611425781250006,18.365951538085938,0.8389371037483215,-0.001363027491606772,3.642246350646019,0.36431543715298176,0.003103198116150452,0.035888671875,0.9045967243097122,0.05,8,141,0,0,0,0.2177734375,0.224609375,0.1923828125,0.216796875,0.015625,0.1328125
322,2840935,2840935,7992,992,1024,0.45821289062500054,15.331223487854004,-0.8204007744789124,0.0008761289645917714,6.5593452006578445,0.37153322249650955,0.005679501937265741,0.034912109375,0.8593499469174072,0.05,9,164,0,2,2,0.1904296875,0.2236328125,0.2041015625,0.224609375,0.02734375,0.1298828125
323,2841959,2841959,7995,995,1024,0.46954101562500056,16.106313705444336,0.4250839054584503,-0.0008570112113375217,5.45871701836586,0.3597619943320751,0.001868869938334683,0.022216796875,0.8577642756066175,0.05,12,143,1,1,1,0.22265625,0.2138671875,0.2080078125,0.20703125,0.0205078125,0.1279296875
324,2842983,2842983,7997,997,1024,0.4714941406250005,16.9874267578125,0.8088104128837585,0.00094337243353948,4.088510110974312,0.3551653102040291,0.0044998084231338,0.031982421875,0.8516959481933819,0.05,11,96,0,0,0,0.220703125,0.205078125,0.2314453125,0.1953125,0.017578125,0.1298828125
325,2843771,2843771,8000,1000,788,0.560875634517767,17.17557144165039,-1.093575358390808,0.020992784528061748,5.138705782592297,0.3681182712316513,0.0007327223065658472,0.06801757868379354,0.9011511245017285,0.05,10,104,0,1,1,0.22715736040609136,0.20558375634517767,0.2068527918781726,0.21192893401015228,0.017766497461928935,0.13071065989847716
326,2844795,2844795,8002,1002,1024,0.3462011718750006,14.245790481567383,0.12915879487991333,0.00044963485561311245,3.9295199513435364,0.3327885139733553,0.006304560614807997,0.051513671875,0.8778158198104186,0.05,11,127,1,1,1,0.20703125,0.22265625,0.228515625,0.2021484375,0.013671875,0.1259765625
327,2845819,2845819,8005,1005,1024,0.48995117187500054,16.151748657226562,-0.4435531497001648,-0.002651230606716126,3.4467896968126297,0.3370374199002981,0.0003328232942294562,0.013916015625,0.9109104915422469,0.05,8,121,0,0,0,0.1875,0.2421875,0.189453125,0.23828125,0.01171875,0.130859375
328,2846843,2846843,8010,1010,1024,0.4527929687500006,13.795280456542969,-0.6879862546920776,-0.0009071608074009418,8.372267723083496,0.4077869635075331,0.00032287154863297474,0.0224609375,0.8292390916350298,0.05,12,161,1,4,4,0.2353515625,0.177734375,0.2451171875,0.1904296875,0.0302734375,0.12109375
